report_id,site,activity,energy_type,barrier_status,exposure,report_text_clean,report_text,sif_potential,lsr_tag,source
0c27abf1,Rig 7,hot work / welding near process line,thermal (hot work),uncertain,direct_proximity,"During hot work / welding near process line at Rig 7, a technician was inside the equipment when work commenced. Isolation status was not clearly confirmed by the crew. No injury occurred. (PTW ref attached)","During hot work / wielding near process line at Rig 7, a technician was inside the equipment when work commenced. LOTO status was not clearly confimed by the crew. No injury occurred. (PTW ref attached)",0,Hot Work,synthetic
6a03f3b8,Well Site B,maintenance on process equipment,stored/electrical energy,uncertain,no_exposure,"During maintenance on process equipment at Well Site B, the area was clear of workers during the activity. Gas test reportedly done earlier in the shift, not re-verified. No injury occurred; worker moved away in time.","During maintenance on process equipment at Well Site B, the area was clear of workers during the activity. Gas test reportedly done earlier in the shift, not re-verified. No injury occurred; worker moved away in time.",0,N/A,synthetic
df2ee6d2,Plant C,lifting operation with mobile crane,kinetic (line of fire),confirmed_present,direct_proximity,"During lifting operation with mobile crane at Plant C, a technician was inside the equipment when work commenced. Isolation was verified and tagged before work began. No injury occurred. (PTW ref attached)","During lifting operation with mobile crane at Plant C, a technician was inside the equipment when work commenced. LOTO was verified and tagged before work began. No injury occurred. (PTW ref attached) Mazdoor ko turant hataya gaya.",0,N/A,synthetic
e1b42b76,Field Station 2,scaffolding erection at height,fall from height,absent_not_mentioned,indirect_proximity,"During scaffolding erection at height at Field Station 2, a worker was nearby but not directly in the hazard path. Work proceeded without a permit being sighted. Minor first aid case reported.","During scaffolding erection at height at Field Station 2, a worker was nearby but not directly in the hazard path. Work proceeded without a permit being sighted. Minor first aid case reported.",1,Working at Height,synthetic
471b8289,Well Site B,vehicle movement within plant premises,vehicular/motion,absent_not_mentioned,no_exposure,"During vehicle movement within plant premises at Well Site B, the area was clear of workers during the activity. Minor first aid case reported. - LOTO tag #754","During vehicle movement within plant premises at Well Site B, the area was clear of workers during the activity. Minor first aid case reported. - LOTO tag #754 Check nahi kiya gaya tha isolation ka.",0,N/A,synthetic
1465c078,Well Site B,hot work / welding near process line,thermal (hot work),uncertain,direct_proximity,"During hot work / welding near process line at Well Site B, the contractor was positioned directly beneath the suspended load. Permit was raised but supervisor sign-off could not be located. Near miss — situation was corrected before escalation.","During hot work / welding near process line at Well Site B, the contractor was positioned directly beneath the suspended load. Permit was raised but supervisor sign-off could not be located. Near miss — situation was corrected before escalation.",1,Hot Work,synthetic
a86166ef,Well Site B,maintenance on process equipment,stored/electrical energy,absent_not_mentioned,no_exposure,"During maintenance on process equipment at Well Site B, no personnel were in the vicinity at the time. No isolation was mentioned in the report. Minor first aid case reported.","During maintainance on process equipment at Well Site B, no personnel were in the vicinity at the time. No LOTO was mentioned in the report. Minor first aid case reported.",0,N/A,synthetic
35b00467,Terminal A,electrical panel work,stored/electrical energy,confirmed_present,direct_proximity,"During electrical panel work at Terminal A, a technician was inside the equipment when work commenced. Permit to work was signed off with all checks completed. Reported as unsafe condition during routine walk-around.","During electrical panel work at Terminal A, a technician was inside the equipment when work commenced. PTW was signed off with all checks completed. Reported as unsafe condition during routine walk-around.",0,N/A,synthetic
4e44c6e6,Rig 4,pipeline pigging operation,kinetic (line of fire),confirmed_present,direct_proximity,"During pipeline pigging operation at Rig 4, a technician was inside the equipment when work commenced. Exclusion zone was established and maintained throughout. No injury occurred; worker moved away in time.","During pipeline pigging operation at Rig 4, a technician was inside the equipment when work commenced. Exclusion zone was established and maintained throughout. No injury occurred; worker moved away in time.",0,N/A,synthetic
b5718bca,Rig 4,pipeline pigging operation,kinetic (line of fire),absent_not_mentioned,no_exposure,"During pipeline pigging operation at Rig 4, the area was clear of workers during the activity. Work proceeded without a permit being sighted. No injury occurred. (PTW ref attached)","During pipeline pigging operation at Rig 4, the area was clear of workers during the activity. Work proceeded without a PTW being sighted. No injury occurred. (PTW ref attached) Check nahi kiya gaya tha isolation ka.",0,N/A,synthetic
919118db,Terminal A,vehicle movement within plant premises,vehicular/motion,uncertain,direct_proximity,"During vehicle movement within plant premises at Terminal A, the contractor was positioned directly beneath the suspended load. Exclusion zone markers were present but not actively enforced. Minor first aid case reported. acc to shift log","During vehicle movement within plant premises at Terminal A, the contractor was positioned directly beneath the suspended load. Exclusion zone markers were present but not actively enforced. Minor first aid case reported. acc to shift log",1,Driving,synthetic
056d81a0,Rig 4,pipeline pigging operation,stored/electrical energy,uncertain,indirect_proximity,"During pipeline pigging operation at Rig 4, a worker was nearby but not directly in the hazard path. Permit was raised but supervisor sign-off could not be located. Minor first aid case reported. (PTW ref attached)","During pipeline pigging operation at Rig 4, a worker was nearby but not directly in the hazard path. Permit was raised but supervisor sign-off could not be located. Minor first aid case reported. (PTW ref attached)",1,Energy Isolation,synthetic
2e672950,Field Station 2,hot work / welding near process line,thermal (hot work),uncertain,no_exposure,"During hot work / welding near process line at Field Station 2, the area was clear of workers during the activity. Exclusion zone markers were present but not actively enforced. No injury occurred; worker moved away in time.","During hot work / wielding near process line at Field Station 2, the area was clear of workers during the activity. Exclusion zone markers were present but not actively enforced. No injury occurred; worker moved away in time.",0,N/A,synthetic
